standard_number,title,descriptive_title,year,id,source,detail_url,pdf_url
IS 10003,IS 10003 : 1988,IS 10003 : 1988,1988,17937,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+10003&id=17937,https://archive.org/search?query=title%3A%22IS%2010003%22
IS 10004,IS 10004 : 1981,IS 10004 : 1981,1981,17938,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+10004&id=17938,https://archive.org/search?query=title%3A%22IS%2010004%22
IS 10005,IS 10005 : 1994,IS 10005 : 1994,1994,934,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+10005&id=934,https://archive.org/search?query=title%3A%22IS%2010005%22
IS 10006,IS 10006 : 1981,IS 10006 : 1981,1981,935,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+10006&id=935,https://archive.org/search?query=title%3A%22IS%2010006%22
IS 10007,IS 10007 : 1981,IS 10007 : 1981,1981,936,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+10007&id=936,https://archive.org/search?query=title%3A%22IS%2010007%22
IS 10008,IS 10008 : 2024,IS 10008 : 2024,2024,50627,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+10008&id=50627,https://archive.org/search?query=title%3A%22IS%2010008%22
IS 10009,IS 10009 : 2026,IS 10009 : 2026,2026,55155,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+10009&id=55155,https://archive.org/search?query=title%3A%22IS%2010009%22
IS 10009 - (Active),IS 10009 - (Active) : 1981,IS 10009 - (Active) : 1981,1981,938,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+10009+-+(Active)&id=938,https://archive.org/search?query=title%3A%22IS%2010009%20-%20%28Active%29%22
IS 10009 Amd. 1,IS 10009 Amd. 1 : 1992,IS 10009 Amd. 1 : 1992,1992,24795,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+10009+Amd.+1&id=24795,https://archive.org/search?query=title%3A%22IS%2010009%20Amd.%201%22
IS 1001,IS 1001 : 1991,IS 1001 : 1991,1991,939,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+1001&id=939,https://archive.org/search?query=title%3A%22IS%201001%22
IS 10010,IS 10010 : 2022,IS 10010 : 2022,2022,46261,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+10010&id=46261,https://archive.org/search?query=title%3A%22IS%2010010%22
IS 10011,IS 10011 : 2022,IS 10011 : 2022,2022,46450,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+10011&id=46450,https://archive.org/search?query=title%3A%22IS%2010011%22
IS 10012,IS 10012 : 1981,IS 10012 : 1981,1981,942,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+10012&id=942,https://archive.org/search?query=title%3A%22IS%2010012%22
IS 10013 : Part 1,IS 10013 : Part 1 : 1981,IS 10013 : Part 1 : 1981,1981,943,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+10013+%3a+Part+1&id=943,https://archive.org/search?query=title%3A%22IS%2010013%20%3A%20Part%201%22
IS 10013 : Part 2,IS 10013 : Part 2 : 1981,IS 10013 : Part 2 : 1981,1981,944,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+10013+%3a+Part+2&id=944,https://archive.org/search?query=title%3A%22IS%2010013%20%3A%20Part%202%22
IS 10013 : Part 3,IS 10013 : Part 3 : 1981,IS 10013 : Part 3 : 1981,1981,945,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+10013+%3a+Part+3&id=945,https://archive.org/search?query=title%3A%22IS%2010013%20%3A%20Part%203%22
IS 10014 : Part 1,IS 10014 : Part 1 : 1984,IS 10014 : Part 1 : 1984,1984,946,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+10014+%3a+Part+1&id=946,https://archive.org/search?query=title%3A%22IS%2010014%20%3A%20Part%201%22
IS 10014 : Part 1 Amd. 1,IS 10014 : Part 1 Amd. 1 : 1993,IS 10014 : Part 1 Amd. 1 : 1993,1993,24798,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+10014+%3a+Part+1+Amd.+1&id=24798,https://archive.org/search?query=title%3A%22IS%2010014%20%3A%20Part%201%20Amd.%201%22
IS 10014 : Part 2,IS 10014 : Part 2 : 1981,IS 10014 : Part 2 : 1981,1981,17939,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+10014+%3a+Part+2&id=17939,https://archive.org/search?query=title%3A%22IS%2010014%20%3A%20Part%202%22
